# Log file inited, date=2023-05-18 16:30:36.528634
0 2023-05-18 16:34:46.556614 LSL_name=Muse,LSL_hostname=ThinkPad,LSL_nof_channels=5,LSL_created_at=78326.145091756,LSL_time_correction=-2.194699482060969e-05
T0002_marker marker_id=4003 ts=1684420666.0365 date='2023-05-18 16:37:46.110845'
T0002_marker marker_id=1000 ts=1684420677257 date='2023-05-18 16:37:57.259384'
T0002_marker marker_id=1002 ts=1684420678786 date='2023-05-18 16:37:58.786806'
T0002_marker marker_id=1000 ts=1684420680402 date='2023-05-18 16:38:00.402895'
T0002_marker marker_id=1002 ts=1684420681985 date='2023-05-18 16:38:01.985672'
T0002_marker marker_id=1003 ts=1684420683552 date='2023-05-18 16:38:03.553484'
T0002_marker marker_id=1002 ts=1684420685152 date='2023-05-18 16:38:05.152844'
T0002_marker marker_id=1002 ts=1684420685614 date='2023-05-18 16:38:05.615243'
T0002_marker marker_id=1002 ts=1684420686768 date='2023-05-18 16:38:06.768988'
T0002_marker marker_id=1000 ts=1684420688386 date='2023-05-18 16:38:08.386981'
T0002_marker marker_id=1001 ts=1684420690001 date='2023-05-18 16:38:10.002421'
T0002_marker marker_id=1003 ts=1684420691585 date='2023-05-18 16:38:11.585764'
T0002_marker marker_id=1000 ts=1684420693152 date='2023-05-18 16:38:13.152855'
T0002_marker marker_id=1002 ts=1684420694769 date='2023-05-18 16:38:14.769858'
T0002_marker marker_id=1000 ts=1684420696353 date='2023-05-18 16:38:16.353435'
T0002_marker marker_id=1002 ts=1684420697919 date='2023-05-18 16:38:17.919127'
T0002_marker marker_id=1003 ts=1684420699535 date='2023-05-18 16:38:19.535952'
T0002_marker marker_id=1001 ts=1684420701251 date='2023-05-18 16:38:21.253592'
T0002_marker marker_id=1001 ts=1684420702918 date='2023-05-18 16:38:22.919052'
T0002_marker marker_id=1001 ts=1684420704602 date='2023-05-18 16:38:24.602236'
T0002_marker marker_id=1000 ts=1684420706251 date='2023-05-18 16:38:26.252615'
T0002_marker marker_id=1002 ts=1684420707953 date='2023-05-18 16:38:27.954735'
T0002_marker marker_id=1000 ts=1684420709535 date='2023-05-18 16:38:29.535569'
T0002_marker marker_id=1003 ts=1684420711119 date='2023-05-18 16:38:31.119919'
T0002_marker marker_id=1001 ts=1684420712769 date='2023-05-18 16:38:32.769241'
T0002_marker marker_id=1001 ts=1684420714407 date='2023-05-18 16:38:34.408510'
T0002_marker marker_id=1002 ts=1684420715969 date='2023-05-18 16:38:35.969357'
T0002_marker marker_id=1001 ts=1684420717518 date='2023-05-18 16:38:37.519157'
T0002_marker marker_id=1002 ts=1684420719202 date='2023-05-18 16:38:39.202650'
T0002_marker marker_id=1002 ts=1684420720868 date='2023-05-18 16:38:40.869035'
T0002_marker marker_id=1003 ts=1684420722485 date='2023-05-18 16:38:42.487006'
T0002_marker marker_id=1001 ts=1684420724002 date='2023-05-18 16:38:44.002325'
T0002_marker marker_id=1000 ts=1684420725519 date='2023-05-18 16:38:45.519550'
T0002_marker marker_id=1001 ts=1684420727038 date='2023-05-18 16:38:47.038328'
T0002_marker marker_id=1001 ts=1684420728735 date='2023-05-18 16:38:48.735975'
T0002_marker marker_id=1000 ts=1684420730419 date='2023-05-18 16:38:50.419288'
T0002_marker marker_id=1000 ts=1684420732118 date='2023-05-18 16:38:52.119252'
T0002_marker marker_id=1001 ts=1684420733721 date='2023-05-18 16:38:53.721590'
T0002_marker marker_id=1003 ts=1684420735319 date='2023-05-18 16:38:55.324500'
T0002_marker marker_id=3000 ts=1684420736477 date='2023-05-18 16:38:56.477758'
T0002_stop timestamp=1684420736477 date='2023-05-18 16:38:56.477940'
T0002_marker marker_id=2003 ts=1684420737319 date='2023-05-18 16:38:57.319026'
